year,count,acres
1920,131,139029.80666403004
1921,160,245682.31243686014
1922,116,342731.43093347014
1923,125,272381.79617311
1924,251,610959.2502783594
1925,91,78507.23255589
1926,190,260467.06139316
1927,99,178417.71643804997
1928,168,551897.5682135802
1929,154,252561.1687169001
1930,108,50047.52424570998
1931,167,265177.84240038996
1932,116,326915.95276214
1933,72,92040.79803800998
1934,133,112466.78699897994
1935,84,65239.434092809985
1936,123,213582.81971202992
1937,59,21699.540098179998
1938,100,119209.36229493
1939,151,243282.98063978006
1940,89,128544.85804102004
1941,112,87489.96366244997
1942,101,262391.76704815996
1943,115,249123.58924536995
1944,137,344078.2727816601
1945,149,249928.6871238401
1946,102,106279.23562863
1947,124,150752.9219788801
1948,66,176268.20884799
1949,172,208360.02863125998
1950,227,538277.1367109899
1951,221,307773.75808151986
1952,173,133855.50881597004
1953,217,335875.48648995993
1954,158,219797.44914828995
1955,172,386057.6846242501
1956,133,178798.54355951
1957,155,203264.10758501993
1958,167,252308.87673084007
1959,206,299518.79629818
1960,142,346191.0333895998
1961,167,363230.44161801995
1962,109,132534.61140965004
1963,79,32275.42082061
1964,138,296782.54032035987
1965,62,82850.82689859004
1966,133,266466.6416904902
1967,112,237255.24610385
1968,213,223609.86911151008
1969,131,97125.55266274995
1970,233,676019.5174835697
1971,109,60060.32113299998
1972,154,92264.00475547991
1973,151,257137.01454710003
1974,206,137296.70198997002
1975,211,223025.00079201
1976,134,199035.1959742599
1977,167,465615.28405203985
1978,152,126263.88412181994
1979,366,379089.05162558024
1980,319,380262.5924131799
1981,275,313830.35314782005
1982,145,142577.73711738997
1983,160,85942.57480415005
1984,220,207241.6078044799
1985,211,568393.5881310003
1986,172,109078.95340114001
1987,286,862910.9121620298
1988,258,321194.4193182103
1989,181,135333.99732973005
1990,175,371804.34232397005
1991,89,40345.40214182001
1992,197,224215.05252368003
1993,172,324664.26844539
1994,217,350468.42925902
1995,208,198354.81753309007
1996,321,672216.8143922501
1997,187,217847.45374550996
1998,163,165354.68050026
1999,279,801137.00009563
2000,191,249730.52573554002
2001,207,246939.6612963301
2002,243,963898.5079632003
2003,341,970479.2953034498
2004,277,274638.5614781402
2005,306,255532.75761741
2006,315,744764.6475845103
2007,349,1040224.2963646299
2008,438,1382462.2443288094
2009,254,435839.54207091016
2010,209,101474.39729807003
2011,317,202426.79858810012
2012,351,847714.5909086702
2013,298,569820.4404740098
2014,238,570894.6378555406
2015,318,789205.9940303201
2016,352,545984.6167471602
2017,607,1424559.3794137319
2018,413,1590431.1502872694
2019,312,281168.1140193201
2020,500,4159333.988986143
